response_id,q3_individual_1,q3_several_1,q3_several_2,q3_several_3,q3_several_4,q3_several_5,q3_several_6
R_1MEiTDdy7UTusoz,NA,University of California Santa Barbara,California Ocean Protection Council,The Nature Conservancy,California Sea Grant,Kelp Forest Alliance,NA
R_63xyPC8raLCzUR1,Moss Landing Marine Laboratories,NA,NA,NA,NA,NA,NA
R_71ZSMnpmiNQkwhl,US Geological Survey,NA,NA,NA,NA,NA,NA
R_3SqxcM3L5G1Hkiy,Sea Otter Savvy,NA,NA,NA,NA,NA,NA
R_7BdO5e21cQnIEsp,NA,California State Parks,Marine Protected Area Collaborative Network,Surfrider Foundation - Surfrider Monterey,Monterey Bay Whale Watch,NA,NA
R_7q9JnKZUw5OSGcN,NA,University of California San Diego - Scripps Institution of Oceanography,University of California San Diego,NA,NA,NA,NA
R_3qIDU2i8sWSWYdH,NA,Above/Below,The Nature Conservancy,North Coast Kelp Fest,NA,NA,NA
R_3QnZ5K8fvmiL7kI,Ocean Science Trust,NA,NA,NA,NA,NA,NA
R_7lh0XhvWbwdIn1Y,GreenWave,NA,NA,NA,NA,NA,NA
R_1hs7JSWr4eiznRB,"Vantuna Research Group, Occidental College",NA,NA,NA,NA,NA,NA
R_3iPGxjt8gAiTFfa,NA,Reef Check,Watermen's Alliance,NA,NA,NA,NA
R_52444gPAZLZqeP3,NOAA Office of National Marine Sanctuaries,NA,NA,NA,NA,NA,NA
R_3eavCPS10YuL9kK,NA,Greater Farallones Association,Greater Farallones National Marine Sanctuary,Individual: Diver,NA,NA,NA
R_1LLVDCfsYqnIq9H,Get Inspired,NA,NA,NA,NA,NA,NA
R_7pg4O4BWvAUGjnI,NA,Moss Landing Marine Laboratories,NA,NA,NA,NA,NA
R_3fik1PPOQ9o67SN,California Ocean Protection Council,NA,NA,NA,NA,NA,NA
R_1GBVWsZocl0VprB,NA,The Cultured Abalone Farm,Ocean Rainforest,Kelp Restoration and Management Plan Community Working Group,NA,NA,NA
R_3rlB6ugHMc8cqTQ,NA,Sonoma State University,Moss Landing Marine Laboratories,Greater Farallones Association,The Nature Conservancy,University of California Davis - Bodega Marine Laboratory,NA
R_7JW5UqsrkFfRVRL,California State University Long Beach,NA,NA,NA,NA,NA,NA
R_3DhYjkyoy2NGWSY,Reef Check,NA,NA,NA,NA,NA,NA
R_73yGa8USaSXYR0T,NA,University of California Santa Cruz,University of California Davis,California Department of Fish and Wildlife,Partnership for Interdisciplinary Studies of Coastal Oceans,Monterey Bay National Marine Sanctuary,California Ocean Protection Council
R_6EiII1xTL6KeHm5,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA
R_5U9lfj3LrOD0i2J,NA,Reef Check,Heal the Bay,NA,NA,NA,NA
R_3OJIfjza4it1gCi,Reef Check,NA,NA,NA,NA,NA,NA
R_7dozP0EKqBG9GRL,Reef Check,NA,NA,NA,NA,NA,NA
R_7N1Uusw5TPiIBZ4,Reef Check,NA,NA,NA,NA,NA,NA
R_7upUSPV19KS9FVh,NA,Reef Check,Giant Giant Kelp Restoration Project,Moss Landing Marine Laboratories - Sunflower Star Laboratory,NA,NA,NA
R_5dnbJSY7qhuMdsB,University of California Santa Barbara,NA,NA,NA,NA,NA,NA
R_3m8cpnX5GwI23sd,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA
R_1DOJ10bxtj6sNhY,Reef Check,NA,NA,NA,NA,NA,NA
R_5FhTzZKdRpehlyQ,Reef Check,NA,NA,NA,NA,NA,NA
R_3LUnnAPha1ecSLG,Reef Check,NA,NA,NA,NA,NA,NA
R_6EPTJ59BfL4cJQM,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA
R_1zLIhDKBlnrUIRX,Reef Check,NA,NA,NA,NA,NA,NA
R_1c7TocEKUk7HhUB,Reef Check,NA,NA,NA,NA,NA,NA
R_38BizK7TnctWB0Z,Moss Landing Marine Laboratories,NA,NA,NA,NA,NA,NA
R_3cBAzkvBbrEzWDq,California Fish and Game Commission,NA,NA,NA,NA,NA,NA
R_3LjybcSyBNIJe9f,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA
R_7xWr7okBDl0YRkT,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA
R_5ndDsF01WsfNE8X,Reef Check,NA,NA,NA,NA,NA,NA
R_7rNRby3U2gykZ3m,University of Alaska Fairbanks,NA,NA,NA,NA,NA,NA
R_5dLYySNPGDpX0fo,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA
R_5rju7W12HtPajKX,NA,California State Polytechnic University Humboldt - North coast Evaluation of Reef Ecosystems Organization,The Sea Ranch Association - Coastal Stewardship Task Force,California Department of Fish and Wildlife,NA,NA,NA
R_7417rkzwocKka1y,NA,WSP,Reef Check,NA,NA,NA,NA
R_4IJ9UMOGSUESQqB,NA,Reef Check,Watermen's Alliance,NA,NA,NA,NA
R_3ruJtqqgLFhsPQJ,NA,Reef Check,Monterey Bay Aquarium,Giant Giant Kelp Restoration Project,NA,NA,NA
R_4lAn2i4p11JNjBL,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA
R_5i7YPwDuFEqceK9,NA,Reef Check,Watermen's Alliance,NA,NA,NA,NA
R_1LY9bZGoDJpKr8U,NA,California State Polytechnic University Humboldt,Reef Check,California MPA Monitoring Program,California Seaweed Festival,Surfrider Foundation - Surfrider Humboldt,NA
R_7ekodqIQhL8kW9Y,California State Polytechnic University Humboldt,NA,NA,NA,NA,NA,NA
R_56yWtIgrU0bJwpX,Reef Check,NA,NA,NA,NA,NA,NA
R_70XAbTfFsJfV3ix,NA,Moss Landing Marine Laboratories,Monterey Bay Seaweeds,California Kelp Restoration Team (CalKResT),NA,NA,NA
R_799UQY4Dr0HQUdQ,Reef Check,NA,NA,NA,NA,NA,NA
R_8h9I2A79jUPDFkN,University of California Santa Barbara - SBC LTER,NA,NA,NA,NA,NA,NA
R_1D1UUWekEx5DdPJ,University of California Davis,NA,NA,NA,NA,NA,NA
R_5crCJOcIX1ZVu5X,University of California San Diego - Scripps Institution of Oceanography,NA,NA,NA,NA,NA,NA
R_3uHTLrh3ea49nmF,California State Polytechnic University Humboldt,NA,NA,NA,NA,NA,NA
R_61dpMIWMs89lZLY,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA
R_60pBzuWFTFwPVKI,Reef Check,NA,NA,NA,NA,NA,NA
R_6MY7AcdWIwKItCE,Watermen's Alliance,NA,NA,NA,NA,NA,NA
R_3ocCcrb6NY9Nk5I,NA,NOAA Monterey Bay National Marine Sanctuary,University of California Santa Cruz,NA,NA,NA,NA
R_1ulIyefXrmNqx1f,California Sea Grant,NA,NA,NA,NA,NA,NA
R_1eDbXLR4l7rE6wZ,Reef Check,NA,NA,NA,NA,NA,NA
R_6mwVifciTCq64Hs,University of California Santa Barbara,NA,NA,NA,NA,NA,NA
R_1PTOVqgZmThkEyB,California State Polytechnic University Humboldt,NA,NA,NA,NA,NA,NA
R_114CKH20kM3vmaH,University of California Davis,NA,NA,NA,NA,NA,NA
R_1AGjFLTVbTA4HTj,NA,University of California Santa Cruz,The Nature Conservancy,California Department of Fish and Wildlife,NA,NA,NA
R_6aqSOPIVqzbD1KW,Reef Check,NA,NA,NA,NA,NA,NA
R_77kXWTJkzmxmT1g,Reef Check,NA,NA,NA,NA,NA,NA
R_50v3Pt1UGJw51HP,NA,Moss Landing Marine Laboratories,The Nature Conservancy,California Sea Grant,Moss Landing Marine Laboratories - Sunflower Star Laboratory,Monterey Abalone Company,NA
R_5pzEeA0Y9QJuUVY,University of California Davis - Bodega Marine Laboratory,NA,NA,NA,NA,NA,NA
R_6im62S1XTpJTN75,Reef Check,NA,NA,NA,NA,NA,NA
R_6aIROXxP5g9ceLh,NA,Inter Tribal Sinkyone Wilderness Council,Sherwood Valley Band of Pomo Indians,Noyo Reservation,NA,NA,NA
R_5CCP2mCIlBo5erq,NA,California State Polytechnic University Pomona,Occidental College - Vantuna Research Group,Southern California Marine Institute,NA,NA,NA
R_5PVz3pKxk7VhOlb,Reef Check,NA,NA,NA,NA,NA,NA
R_51QOureZvOe4yuD,NA,Moss Landing Marine Laboratories - Sunflower Star Laboratory,Reef Check,Association of Zoos and Aquariums - SAFE Sunflower Sea Star,NA,NA,NA
R_1lrsTNY3DPjk1VL,Reef Check,NA,NA,NA,NA,NA,NA
R_5iDbDmAusc7eB69,Reef Check,NA,NA,NA,NA,NA,NA
R_3bJaYOcvz8vl2Jr,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA
R_7PdJnlqS6NLYWwf,Monterey Abalone Company,NA,NA,NA,NA,NA,NA
R_7hfycjL7FiiE7JL,Southern California Coastal Water Research Project,NA,NA,NA,NA,NA,NA
R_1alPAkiq0nTZhyg,"University of Washington, Friday Harbor Labs",NA,NA,NA,NA,NA,NA
R_3bryolJxRx4lxfP,NA,Reef Check,Bamboo Reef Scuba Diving Centers - Triton Spearfishing,Individual: Commercial or Recreational Fishing,NA,NA,NA
R_6fiFlBSwa4Khjkl,Reef Check,NA,NA,NA,NA,NA,NA
R_1Vl14FLQMPu68tc,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA
R_6U4QGgoI5tIAT6r,Reef Check,NA,NA,NA,NA,NA,NA
R_20uTnIwAQ3UxMrw,Urchinomics,NA,NA,NA,NA,NA,NA
R_5ZOQp4wydkntvjP,NA,Reef Check,Giant Giant Kelp Restoration Project,NA,NA,NA,NA
R_1kGTi1GqQ0cAh7l,NA,Giant Giant Kelp Restoration Project,Moss Landing Marine Laboratories - Sunflower Star Laboratory,NA,NA,NA,NA
R_6Xyvl60kUELNc89,University of California Davis,NA,NA,NA,NA,NA,NA
R_59ddlusvPUaiVK9,Monterey Bay Aquarium,NA,NA,NA,NA,NA,NA
R_7uHWBgcPD0hY0pj,California Ocean Protection Council,NA,NA,NA,NA,NA,NA
R_5lJgLlTPSdgHFwm,Individual,NA,NA,NA,NA,NA,NA
R_7DMyWjdBdNj6bfz,NA,University of California Santa Barbara - Seaweed CDR Project,University of California Santa Barbara - SBC LTER,NA,NA,NA,NA
R_5hm2WjZi0py0QMx,Elkhorn Slough National Estuarine Research Reserve,NA,NA,NA,NA,NA,NA
R_3l5cUrzniBaWlIs,Reef Check,NA,NA,NA,NA,NA,NA
R_6GbV3QDZn2JJCiR,NA,Coastal Conservation Association - California Chapter,Fish Reef Project,Wave Walker Charters,NA,NA,NA
R_3flkUGJgvtVI8pR,Reef Check,NA,NA,NA,NA,NA,NA
R_3KxOe3DfFTAjUg0,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA
R_7dQ9uX1Ovk6Kwdf,Channel Islands National Park,NA,NA,NA,NA,NA,NA
R_6D5kmxtODIPb1hT,University of California Santa Cruz,NA,NA,NA,NA,NA,NA
R_7wync7TWV8fWjtH,NA,Greater Farallones Association,Greater Farallones National Marine Sanctuary,NA,NA,NA,NA
R_3XLt3StxxpmyZDX,The Nature Conservancy,NA,NA,NA,NA,NA,NA
R_6LPMdMvKD0V81Db,Amah Mutsun Land Trust,NA,NA,NA,NA,NA,NA
R_5wNdsmuPRtT41S9,University of California Santa Cruz,NA,NA,NA,NA,NA,NA
R_3RSD7GUxRnXMGbL,California State Polytechnic University Humboldt,NA,NA,NA,NA,NA,NA
R_6pLfTLK8bUMafTx,University of California Santa Cruz,NA,NA,NA,NA,NA,NA
R_6K6AN5Nv07MJGNm,Reef Check,NA,NA,NA,NA,NA,NA
R_6n7oRh23eSQ96OT,Birch Aquarium at Scripps Institution of Oceanography,NA,NA,NA,NA,NA,NA
R_7DeczPHJmSjx6Tj,Reef Check,NA,NA,NA,NA,NA,NA
R_61tuTrD0UVuOyWp,Sonoma County Water Agency,NA,NA,NA,NA,NA,NA
R_1NqY8R9wV0B745S,Strategic Earth Consulting,NA,NA,NA,NA,NA,NA
R_3Hqxere4rGNArPa,NA,California Ocean Science Trust,California Ocean Protection Council,NA,NA,NA,NA
R_10If5FdurUsnvaA,Reef Check,NA,NA,NA,NA,NA,NA
R_3V7Q2T5Rvt15jcF,Reef Check,NA,NA,NA,NA,NA,NA
R_3LAy2UOHpyyRYj0,University of California Davis,NA,NA,NA,NA,NA,NA
R_3QKhfIUrJDCP4N5,NA,Greater Farallones Association,"Greater Farallones National Marine Sanctuary, Cordell Bank National Marine Sanctuary",NA,NA,NA,NA
R_3scU0AWn3hB4pkn,Reef Check,NA,NA,NA,NA,NA,NA
R_3BzLfwVeBMOHjEr,University of Oregon,NA,NA,NA,NA,NA,NA
R_3REDy37W41gd9F7,Individual,Individual: Commercial or Recreational Fishing,Individual: Commercial or Recreational Fishing,Noyo Harbor,NA,NA,NA
R_50sTP7MIe3Y7drH,University of Wisconsin Milwaukee,NA,NA,NA,NA,NA,NA
R_6dMTDBMlEwjuhuO,US Fish and Wildlife Service,NA,NA,NA,NA,NA,NA
R_6u3YTDhcZ4dOrtv,NA,California Sea Grant,California Ocean Protection Council,California Department of Fish and Wildlife,NA,NA,NA
R_6VIvis1oYCTIQom,NA,University of California Berkeley,Kashia Band of Pomo Indians,NA,NA,NA,NA
R_5R8mhuPcpBgJCfg,NA,Giant Giant Kelp Restoration Project,The Nature Conservancy,NA,NA,NA,NA
R_5dMGo8yjNaUViDk,California Sea Urchin Commission,NA,NA,NA,NA,NA,NA
R_3Vl6LBqVu3BbKfR,The Nature Conservancy,NA,NA,NA,NA,NA,NA
R_1OwaKPJzCpBm5QR,California State Polytechnic University Humboldt,NA,NA,NA,NA,NA,NA
R_7oHQgfbxkVtFRfP,City College of San Francisco,NA,NA,NA,NA,NA,NA
R_1giJDgseUTPJq9R,Comunidad y Biodiversidad,NA,NA,NA,NA,NA,NA
R_5vldi5R3qII19F6,NA,California Sea Grant,University of California San Diego - Scripps Institution of Oceanography,NA,NA,NA,NA
R_1F990DdwF6i05R7,NA,NOAA Channel Islands National Marine Sanctuary,NA,California Marine Sanctuary Foundation,NA,NA,NA
R_7L1g8rvgxtmyocF,NA,Woods Hole Oceanographic Institution,University of California Santa Barbara,NA,NA,NA,NA
R_7OdkuIOsnSx3lGH,University of California Merced,NA,NA,NA,NA,NA,NA
R_6mLbnsU7eGt3zQ7,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA
R_3P6kxzidTnvjaEb,Ocean Science Trust,NA,NA,NA,NA,NA,NA
R_7PSlOsSbZJnSQVt,NA,California State Polytechnic University Humboldt - North coast Evaluation of Reef Ecosystems Organization,California State Polytechnic University Humboldt,NA,NA,NA,NA
R_50f07NmTN6tehhY,NA,University of California Davis,Stillwater Cove urchin divers,NA,NA,NA,NA
R_56D6mBrAXbvzaBX,NA,Sonoma State University,The Nature Conservancy,California Sea Grant,Individual: Photographer,NA,NA
R_1QxOFb6rcRAJfNj,NA,San Diego State University,Moss Landing Marine Laboratories,University of California Davis - Bodega Marine Laboratory,NA,NA,NA
R_26wgmjAkC5Gh4v7,University of California Davis,NA,NA,NA,NA,NA,NA
R_1qyBCaqZoD5UZnT,University of California Davis,NA,NA,NA,NA,NA,NA
R_6qCLsUIEahCGBGw,NA,University of California Berkeley,NA,NA,NA,NA,NA
R_3at4LH8iRw4FZmh,NA,California Sea Urchin Commission,Kelp Restoration and Management Plan Community Working Group,NA,NA,NA,NA
R_2dQR46HIbPVukL1,University of California Santa Cruz,NA,NA,NA,NA,NA,NA
R_3jTauwChLV63T1f,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA
R_59T9thuNU6T04lX,NA,University of California Santa Barbara,NA,NA,NA,NA,NA
R_6LMd7dTdf6Rfhim,NA,Individual: Commercial Fishing,The Good Captain Co.,NA,NA,NA,NA
R_5KVEL7W5XC2QiSl,California Ocean Science Trust,NA,NA,NA,NA,NA,NA
R_3QfvHYy3RtQ0Y3p,NA,Kashia Band of Pomo Indians,Greater Farallones National Marine Sanctuary,NA,NA,NA,NA
R_1oSFZfE9boXZM7N,Universidad Autónoma de Baja California,NA,NA,NA,NA,NA,NA
R_7GVc2EVkNJq5OuE,NA,University of California Berkeley,University of California Davis,California Department of Fish and Wildlife,NA,NA,NA
R_3UWJ3j85Z8A7G8N,Blue Frontier,NA,NA,NA,NA,NA,NA
R_6LhAP9pWdy7X4uu,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA
R_1PjehnKerfCz2KZ,NA,Universidad Autónoma de Baja California - Facultad de Ciencias Marinas,Management of Ecosystems Across the Californias (MexCal),NA,NA,NA,NA
R_1RslAiObZtxlSCr,NA,Giant Giant Kelp Restoration Project,Reef Check,NA,NA,NA,NA
R_5p0hFxU61rtshee,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA
R_3CCIZ5j7PiHSIsp,NA,Moss Landing Marine Laboratories,Giant Giant Kelp Restoration Project,Reef Check,Monterey Bay Aquarium,NA,NA
R_7VknEEFPyRdBvEg,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA
R_5DbUjzy5UEB6Bmv,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA
R_1A45wn3R1qfgQo1,Individual,NA,NA,NA,NA,NA,NA
R_5mmNcOYdXJg1gvT,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA
R_5OluY6cgVytnMXy,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA
R_5e9yFfoNEJDCk8C,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA
R_3sUgRaVeknwNZJv,Monterey Bay National Marine Sanctuary,NA,NA,NA,NA,NA,NA
R_32M5YMKXGATu4et,Giant Giant Kelp Restoration Project,NA,NA,NA,NA,NA,NA
R_6tLmKtUmSAbqmXf,University of California,NA,NA,NA,NA,NA,NA
R_1hLpjMQHkCV2pzd,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA
R_3CZAdSFoHc2B3js,Earth Equity,NA,NA,NA,NA,NA,NA
R_6VQ22vWOFCNeq6T,NA,California Sea Grant,Moss Landing Marine Laboratories,NA,NA,NA,NA
R_5Svq728nosQBgtE,Kashia Band of Pomo Indians,NA,NA,NA,NA,NA,NA
R_3Tr6wGXEFxtkXGF,Monterey Bay Fisheries Trust,NA,NA,NA,NA,NA,NA
R_6l4R7aWAfyJhiNk,Moss Landing Marine Laboratories,NA,NA,NA,NA,NA,NA
R_7qWLYQ3hJQWD88o,California Sea Urchin Commission,NA,NA,NA,NA,NA,NA
R_1DIA6BHO7pKYU8x,Individual,NA,NA,NA,NA,NA,NA
R_5dGJi242F31TvPK,NA,University of California San Diego - Scripps Institution of Oceanography,University of California San Diego - Scripps Institution of Oceanography - Birch Aquarium,California Sea Grant,Seatrees,NA,NA
R_5Kp9TGl2DgbTLBD,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA
R_5J96mgzzSF0Ec4h,The Nature Conservancy,NA,NA,NA,NA,NA,NA
R_1gumT7uft6SpkJY,California State Polytechnic University Humboldt,NA,NA,NA,NA,NA,NA
R_7TCeiJcmXqj5D3j,NA,Greater Farallones Association,"Greater Farallones National Marine Sanctuary, Cordell Bank National Marine Sanctuary",National Oceanic and Atmospheric Administration - Office of National Marine Sanctuaries - West Coast Region,NA,NA,NA
R_37vKJWxcl9TGyAh,University of California Davis,NA,NA,NA,NA,NA,NA
R_5DV0tqtY9F6iwNf,NA,"Vantuna Research Group, Occidental College",Southern California Marine Institute,NA,NA,NA,NA
R_3H4Mz7SlkUD54nD,California Department of Fish and Wildlife,NA,NA,NA,NA,NA,NA
R_3uL30uYfPe5PaMU,Tribal Government,NA,NA,NA,NA,NA,NA
R_1qyNTuTpApbsKrv,Reef Check,NA,NA,NA,NA,NA,NA
R_7zc4m6dh9wc0YdK,Individual,NA,NA,NA,NA,NA,NA
R_6bHxeA4QGNrYNLX,Individual,NA,NA,NA,NA,NA,NA
R_7JEJi8H3q09y2t3,Individual,NA,NA,NA,NA,NA,NA
R_5EEryN11xzuu0Bn,Individual,NA,NA,NA,NA,NA,NA
R_1IYppFunOMXt4tI,Individual,NA,NA,NA,NA,NA,NA
R_1DPqpawnjiLhfkl,Individual,NA,NA,NA,NA,NA,NA
